RMInstance(moto=1, rider=3, helmet=no_helmet, plate=None, violation=True)
RMInstance(moto=7, rider=5, helmet=no_helmet, plate=None, violation=None)
RMInstance(moto=4, rider=12, helmet=helmet, plate=None, violation=False)
RMInstance(moto=14, rider=15, helmet=None, plate=None, violation=None)
RMInstance(moto=11, rider=17, helmet=None, plate=None, violation=None)
RMInstance(moto=6, rider=19, helmet=None, plate=None, violation=None)
RMInstance(moto=6, rider=33, helmet=no_helmet, plate=None, violation=True)
RMInstance(moto=4, rider=16, helmet=no_helmet, plate=None, violation=None)
RMInstance(moto=32, rider=67, helmet=None, plate=None, violation=None)
RMInstance(moto=79, rider=81, helmet=None, plate=None, violation=None)
RMInstance(moto=83, rider=90, helmet=None, plate=None, violation=None)
RMInstance(moto=156, rider=158, helmet=helmet, plate=None, violation=None)
RMInstance(moto=160, rider=162, helmet=None, plate=None, violation=None)
RMInstance(moto=4, rider=172, helmet=helmet, plate=None, violation=False)
RMInstance(moto=179, rider=181, helmet=helmet, plate=None, violation=False)
RMInstance(moto=15, rider=14, helmet=no_helmet, plate=None, violation=None)
RMInstance(moto=538, rider=317, helmet=None, plate=None, violation=None)
RMInstance(moto=385, rider=392, helmet=helmet, plate=None, violation=None)
RMInstance(moto=420, rider=438, helmet=None, plate=None, violation=None)
RMInstance(moto=172, rider=479, helmet=None, plate=None, violation=None)
RMInstance(moto=769, rider=537, helmet=None, plate=None, violation=None)
RMInstance(moto=156, rider=785, helmet=None, plate=None, violation=None)
RMInstance(moto=156, rider=793, helmet=None, plate=None, violation=None)
RMInstance(moto=156, rider=803, helmet=None, plate=None, violation=None)
RMInstance(moto=863, rider=769, helmet=None, plate=None, violation=None)
RMInstance(moto=878, rider=863, helmet=helmet, plate=None, violation=None)
RMInstance(moto=930, rider=932, helmet=no_helmet, plate=None, violation=None)
RMInstance(moto=919, rider=975, helmet=None, plate=None, violation=None)
RMInstance(moto=1147, rider=1122, helmet=None, plate=None, violation=None)
RMInstance(moto=1164, rider=1174, helmet=None, plate=None, violation=None)
RMInstance(moto=1174, rider=1164, helmet=None, plate=None, violation=None)
RMInstance(moto=1240, rider=1239, helmet=None, plate=None, violation=None)
RMInstance(moto=1183, rider=1241, helmet=helmet, plate=None, violation=None)
RMInstance(moto=1240, rider=1234, helmet=None, plate=None, violation=None)
RMInstance(moto=1295, rider=1311, helmet=None, plate=None, violation=None)
RMInstance(moto=1315, rider=1322, helmet=helmet, plate=None, violation=None)
RMInstance(moto=1325, rider=1327, helmet=None, plate=None, violation=None)
RMInstance(moto=1356, rider=1365, helmet=no_helmet, plate=None, violation=None)
RMInstance(moto=1317, rider=1446, helmet=None, plate=None, violation=None)
RMInstance(moto=1448, rider=1455, helmet=None, plate=None, violation=None)
RMInstance(moto=1461, rider=1454, helmet=helmet, plate=None, violation=None)
RMInstance(moto=1455, rider=1529, helmet=None, plate=None, violation=None)
RMInstance(moto=1612, rider=1463, helmet=None, plate=None, violation=None)
RMInstance(moto=1612, rider=1732, helmet=None, plate=None, violation=None)
